level,rho_target,pair,label,d_gap,resolved,verdict
0,0.5,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs log M4,"-0.001 [-0.017,0.013]",False,unresolved
0,0.5,SPJF-M4refit - SPJF-M4,refit-noise control,"0.001 [-0.002,0.002]",False,unresolved
0,0.5,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,"-0.010 [-0.022,-0.002]",True,SPJF-tweedie better
0,0.5,CAP-G300 - FIXSEL-G300,"capped relative vs the selected fixed budget, equal grids, G = 300 s","0.006 [-0.003,0.013]",False,unresolved
0,0.5,CAP-G300 - FIX-G300,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 300 s","-0.017 [-0.024,-0.010]",True,FIX-G300 better
0,0.5,HYB-G300 - CAP-G300,"hybrid (queue-length term) vs capped, G = 300 s","0.018 [0.012,0.024]",True,HYB-G300 better
0,0.5,HYB-G300 - FIXSEL-G300,"hybrid vs the selected fixed budget, G = 300 s","0.024 [0.015,0.032]",True,HYB-G300 better
0,0.5,FIXSEL-G300 - FIX-G300,"selected fixed budget vs B0 = Bmax, G = 300 s","-0.024 [-0.030,-0.014]",True,FIX-G300 better
0,0.5,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s","-0.048 [-0.063,-0.034]",True,SPJF-tweedie better
0,0.5,CAP-G300 - SKIP-G300,"capped relative vs finite skip, G = 300 s","0.626 [0.589,0.654]",True,CAP-G300 better
0,0.5,CAP-G600 - FIXSEL-G600,"capped relative vs the selected fixed budget, equal grids, G = 600 s","0.009 [0.005,0.012]",True,CAP-G600 better
0,0.5,CAP-G600 - FIX-G600,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 600 s","-0.001 [-0.003,0.001]",False,unresolved
0,0.5,HYB-G600 - CAP-G600,"hybrid (queue-length term) vs capped, G = 600 s","0.002 [-0.000,0.006]",False,unresolved
0,0.5,HYB-G600 - FIXSEL-G600,"hybrid vs the selected fixed budget, G = 600 s","0.011 [0.006,0.017]",True,HYB-G600 better
0,0.5,FIXSEL-G600 - FIX-G600,"selected fixed budget vs B0 = Bmax, G = 600 s","-0.010 [-0.014,-0.006]",True,FIX-G600 better
0,0.5,CAP-G600 - SPJF-tweedie,"guard vs unguarded, G = 600 s","-0.012 [-0.020,-0.006]",True,SPJF-tweedie better
0,0.5,CAP-G600 - SKIP-G600,"capped relative vs finite skip, G = 600 s","0.555 [0.500,0.606]",True,CAP-G600 better
0,0.5,CAP-G1200 - FIXSEL-G1200,"capped relative vs the selected fixed budget, equal grids, G = 1200 s","0.007 [0.003,0.011]",True,CAP-G1200 better
0,0.5,CAP-G1200 - FIX-G1200,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 1200 s","0.000 [-0.001,0.002]",False,unresolved
0,0.5,HYB-G1200 - CAP-G1200,"hybrid (queue-length term) vs capped, G = 1200 s","-0.007 [-0.012,-0.001]",True,CAP-G1200 better
0,0.5,HYB-G1200 - FIXSEL-G1200,"hybrid vs the selected fixed budget, G = 1200 s","0.000 [-0.005,0.006]",False,unresolved
0,0.5,FIXSEL-G1200 - FIX-G1200,"selected fixed budget vs B0 = Bmax, G = 1200 s","-0.006 [-0.011,-0.003]",True,FIX-G1200 better
0,0.5,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s","-0.001 [-0.002,0.001]",False,unresolved
0,0.5,CAP-G1200 - SKIP-G1200,"capped relative vs finite skip, G = 1200 s","0.385 [0.311,0.466]",True,CAP-G1200 better
0,0.5,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,"-0.036 [-0.046,-0.024]",True,SPJF-reversed better
0,0.5,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,"-0.016 [-0.023,-0.012]",True,SPJF-random better
0,0.5,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,"-0.027 [-0.042,-0.019]",True,SPJF-top1short better
1,0.8,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs log M4,"0.012 [0.005,0.018]",True,SPJF-tweedie better
1,0.8,SPJF-M4refit - SPJF-M4,refit-noise control,"-0.000 [-0.001,0.001]",False,unresolved
1,0.8,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,"0.007 [0.003,0.011]",True,SPJF-r1s better
