trace,reps,level,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
primary,"0,1,2,3,4",0,p99dl,gain,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,-0.0013484416605701322,-0.01722732925280208,0.012515508710351035,False,unresolved
primary,"0,1,2,3,4",0,p99dl,red_pct,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,-0.09096735449701043,-1.0917847941557928,0.773906425520212,False,unresolved
primary,"0,1,2,3,4",0,p99dl,gain,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",0.0005468231987264538,-0.001620584606827616,0.002215078189006521,False,unresolved
primary,"0,1,2,3,4",0,p99dl,red_pct,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",0.03537770633244719,-0.10075260114623034,0.13689941397768252,False,unresolved
primary,"0,1,2,3,4",0,p99dl,gain,SPJF-tweedie - SPJF-M4refit,Tweedie vs the refit log score,-0.001895264859296586,-0.01638057507881807,0.010957695398274922,False,unresolved
primary,"0,1,2,3,4",0,p99dl,red_pct,SPJF-tweedie - SPJF-M4refit,Tweedie vs the refit log score,-0.12634506082945762,-1.024354740359036,0.6869083785487227,False,unresolved
primary,"0,1,2,3,4",0,p99dl,gain,SPJF-r1s - SPJF-tweedie,R1S-Tweedie (M4 cols + GRU state) vs Tweedie,-0.01037190578600411,-0.021868763569253883,-0.0023739001799040443,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,red_pct,SPJF-r1s - SPJF-tweedie,R1S-Tweedie (M4 cols + GRU state) vs Tweedie,-0.6481559355566304,-1.4633968583231007,-0.15306203607768037,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,gain,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control fitted on the same 90% of the rows,-0.012487997081386926,-0.02347848370033006,-0.003508284974869797,True,SPJF-tweedie_itr better
primary,"0,1,2,3,4",0,p99dl,red_pct,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control fitted on the same 90% of the rows,-0.780509662508102,-1.5430404944717653,-0.22402611724280405,True,SPJF-tweedie_itr better
primary,"0,1,2,3,4",0,p99dl,gain,SPJF-tweedie_itr - SPJF-tweedie,"cost of the GRU's inner-validation holdout: same score, 90% of rows",0.002116091295382816,-0.004037887546847668,0.006223565049342824,False,unresolved
primary,"0,1,2,3,4",0,p99dl,red_pct,SPJF-tweedie_itr - SPJF-tweedie,"cost of the GRU's inner-validation holdout: same score, 90% of rows",0.13235372695147163,-0.2570944841632256,0.387138998846749,False,unresolved
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G300 - FIX-G300,capped relative vs fixed budget at G = 300 s,-0.04035408322465417,-0.05116968297912653,-0.02791485342809927,True,FIX-G300 better
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G300 - FIX-G300,capped relative vs fixed budget at G = 300 s,-2.4946834322746554,-3.2801744028925928,-1.7002108977577608,True,FIX-G300 better
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-0.07149900930558939,-0.08969642455845554,-0.05368921457229934,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-4.417565754471511,-5.567325365341162,-3.2997705867819147,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,gain,FIX-G300 - SPJF-tweedie,"fixed-budget guard vs unguarded, G = 300 s",-0.03114492608093522,-0.04427190248862368,-0.01964804876224867,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,red_pct,FIX-G300 - SPJF-tweedie,"fixed-budget guard vs unguarded, G = 300 s",-1.9228823221968554,-2.70515701166707,-1.240331156349597,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,gain,SKIP-G300 - SPJF-tweedie,finite-skip vs unguarded at equal G = 300 s,-0.6886523993213013,-0.7257320310079444,-0.6465374407796952,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,red_pct,SKIP-G300 - SPJF-tweedie,finite-skip vs unguarded at equal G = 300 s,-42.649383037922334,-46.30017011733256,-39.66714017621147,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G300 - SKIP-G300,capped relative vs finite-skip at G = 300 s,0.6171533900157119,0.5849097480537722,0.6461476293220977,True,CAP-G300 better
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G300 - SKIP-G300,capped relative vs finite-skip at G = 300 s,38.23181728345082,35.867185487224745,41.29836273466951,True,CAP-G300 better
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G600 - FIX-G600,capped relative vs fixed budget at G = 600 s,-0.0013598687854423641,-0.0028833471493376977,-0.00010830822559401173,True,FIX-G600 better
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G600 - FIX-G600,capped relative vs fixed budget at G = 600 s,-0.08504706650406035,-0.17586184228069862,-0.007595630744743988,True,FIX-G600 better
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G600 - SPJF-tweedie,"guard vs unguarded, G = 600 s",-0.012974911701200353,-0.019524225387459453,-0.0060813309556818065,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G600 - SPJF-tweedie,"guard vs unguarded, G = 600 s",-0.7997903946613008,-1.1814684760444871,-0.3772996065129294,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,gain,FIX-G600 - SPJF-tweedie,"fixed-budget guard vs unguarded, G = 600 s",-0.01161504291575799,-0.01708717350478608,-0.0055892853346924285,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,red_pct,FIX-G600 - SPJF-tweedie,"fixed-budget guard vs unguarded, G = 600 s",-0.7147433281572404,-1.0457387092160249,-0.34050435569242055,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,gain,SKIP-G600 - SPJF-tweedie,finite-skip vs unguarded at equal G = 600 s,-0.5799245585779804,-0.6331508392647669,-0.5224171817930782,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,red_pct,SKIP-G600 - SPJF-tweedie,finite-skip vs unguarded at equal G = 600 s,-35.88545253863873,-39.719613617906745,-32.14546050567634,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G600 - SKIP-G600,capped relative vs finite-skip at G = 600 s,0.5669496468767801,0.5130697336420893,0.6161526406956533,True,CAP-G600 better
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G600 - SKIP-G600,capped relative vs finite-skip at G = 600 s,35.08566214397743,31.604874321574894,38.877406068735866,True,CAP-G600 better
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G1200 - FIX-G1200,capped relative vs fixed budget at G = 1200 s,0.0002545914431770768,-0.0005821920257819025,0.0015033112406058924,False,unresolved
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G1200 - FIX-G1200,capped relative vs fixed budget at G = 1200 s,0.016506583825439236,-0.0365041049641265,0.09567049691047344,False,unresolved
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-0.0010530212605700529,-0.00243424323856449,0.0005806334739385074,False,unresolved
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-0.06381044380838574,-0.14968651147799522,0.03863268396040067,False,unresolved
primary,"0,1,2,3,4",0,p99dl,gain,FIX-G1200 - SPJF-tweedie,"fixed-budget guard vs unguarded, G = 1200 s",-0.0013076127037471297,-0.002337303878739544,-0.00023542773490205514,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,red_pct,FIX-G1200 - SPJF-tweedie,"fixed-budget guard vs unguarded, G = 1200 s",-0.08031702763382498,-0.14635065269736688,-0.014725289799531019,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,gain,SKIP-G1200 - SPJF-tweedie,finite-skip vs unguarded at equal G = 1200 s,-0.3946928454456201,-0.4747832883596392,-0.3196964954810518,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,red_pct,SKIP-G1200 - SPJF-tweedie,finite-skip vs unguarded at equal G = 1200 s,-24.3979055099773,-29.727490707673088,-19.949922703414906,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G1200 - SKIP-G1200,capped relative vs finite-skip at G = 1200 s,0.39363982418505006,0.31847407614670364,0.47404627146051004,True,CAP-G1200 better
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G1200 - SKIP-G1200,capped relative vs finite-skip at G = 1200 s,24.334095066168913,19.922820853138145,29.59172762818145,True,CAP-G1200 better
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,-0.028499965066666078,-0.03457252629412635,-0.018525313365536186,True,SPJF-reversed better
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,-1.759100669228694,-2.2023764021480585,-1.123821467894467,True,SPJF-reversed better
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-0.012128734736899238,-0.017840027303021748,-0.008033996779510876,True,SPJF-random better
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-0.7496516657965344,-1.1030029790859674,-0.4979356654050241,True,SPJF-random better
primary,"0,1,2,3,4",0,p99dl,gain,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,-0.022206232128657244,-0.03274801838001544,-0.014939544087981727,True,SPJF-top1short better
primary,"0,1,2,3,4",0,p99dl,red_pct,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,-1.376155318700512,-2.069765305682454,-0.9328191797837136,True,SPJF-top1short better
primary,"0,1,2,3,4",0,mean,gain,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,0.005293338343859366,0.0025287260133283252,0.010344996562413684,True,SPJF-tweedie better
primary,"0,1,2,3,4",0,mean,red_pct,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,0.36086744058550124,0.17315894187330388,0.6511017554779861,True,SPJF-tweedie better
